0.30 агрн. инарҭбааны	0,30 грн. подробнее
Ианыхтәуп	Сбросить
Ианыху адаҟьа аиҭашьақәыргылара	Восстановление удалённой страницы
Ианыху заҵәык	Только удалённые
[Ианыхуп] %s	[Удалён] %s
ианыхуп	удалена
Ианыхуп.	Удалено.
ианыхыу анҵамҭахь	к удалённой записи
Ианышәҵа 6-хыԥхьаӡаракла ишьақәгылоу акод SMS-ацҳамҭа аҟны иарбоу.	Введите 6-значный код из ответного SMS-сообщения
Ианышәҵа адаҟьа ахьӡ	Введите название страницы
Ианышәҵа ажәамаӡа	Введите код
Ианышәҵа азхьарԥш аҭыӡҭыԥ	Введите адрес ссылки
Ианышәҵа азхьарԥш ахҳәаа	Введите описание ссылки
Ианышәҵа азхьарԥш	Введите ссылку
Ианышәҵа азхьарԥш:	Введите ссылку:
Ианышәҵа азхьарԥш изеԥшразаалак ВКонтакте адаҟьа	Введите ссылку на любую страницу ВКонтакте
Ианышәҵа аилазааратә гәыԥ ахьӡ...	Введите название сообщества...
Ианышәҵа аилазааратә гәыԥ ахьӡ мамзаргьы адаҟьа аҭыӡҭыԥ	Введите название сообщества или aдрес страницы
Ианышәҵа апромокод, ВКонтакте абыжьқәа шәоурц азы. Урҭ нышәхырц шәлылшоит ахәмаррақәеи, ақьачақьеи аҳамҭақәеи анаашәхәо. Апромокод шьақәгылоуп 16 дыргала.	Введите промокод и получите голоса ВКонтакте, которые можно потратить на игры, стикеры и подарки. Промокод состоит из 16 символов.
Ианышәҵа ахәԥса мааҭла	Введите сумму в рублях
Ианышәҵа ахҳәаа	Введите описание
Ианышәҵа ахьӡ	Введите имя
Ианышәҵаз анҵамҭақәа раарԥшра	Показать опубликованные записи
ианышәҵа шәашьа ма шәаҳәшьа рыхьӡ	введите имя брата или сестры
ианышәҵа шәԥа ма шәыԥҳа рыхьӡ	введите имя сына или дочери
Ианышәҵа шәхархәага аҟнытә 6-хыԥхьаӡарак змоу акод уи ашьақәыргыларазы.	Введите 6-значный код из приложения для генерации кодов.
Ианышәҵа шәҩыза ихьӡ, мамзар идаҟьа азхьарԥш	Введите имя друга или ссылку на страницу пользователя
иаԥхьааиуа %s жәеиларккак арбара/иаԥхьааиуа %s жәеиларккак арбара/иаԥхьааиуа %s жәеиларккақәа арбара	Показать предыдущий %s комментарий/Показать предыдущие %s комментария/Показать предыдущие %s комментариев
Иаԥхьааиуа раарԥшра	Показать предыдущие
Иаԥхьақәам	Непрочитанные
Иаԥхьам ҳәа алкаара	Отметить непрочитанным
Иаԥхьанеиуа асахьа	Предыдущее изображение
Иаԥхьеит	прочли
Иаԥхьоу еиԥш азгәаҭара	Отметить как прочитанные
Иаԥҵоуп {owner}, {date} аԥшьы азы {app}	Создан {owner}, {date} для приложения {app}
Иаԥҵоуп {owner}, {date}	Создан {owner}, {date}
Иаԥҵоуп еиԥшу аӡырҩрҭа {lookalike_request_source_names} ала.	Создана похожая аудитория по {lookalike_request_source_names}.
Иаԥҵоуп	Создан
Иаԥыхоу	Отменённые
Иаԥышәҵа аӡыргара	Создайте рекламу
Иара арыцхә	Дата рождения
Иара арыцхә	Дата рождения:
Иаразнак аус ахь аиасра	Сразу к делу
Иаразнактәи адырраҭара арбара	Показывать мгновенные уведомления
Иаразнакы	Сразу
Иара уаҳа илшаӡом ацҳамҭақәагьы шәахь аҩҩра, аҭахҳәагақәагьы ашьҭра аҩызцәа рахь ацҵаразы мамзаргьы шәдаҟьа ахәаԥшра./Агәра ганы шәыҟоума {user} ассиа еиқәаҵәахь лҭагалара шышәҭаху?	Он больше не сможет писать вам личные сообщения, отправлять заявки в друзья или просматривать вашу страницу./Вы уверены, что хотите внести {user} в чёрный список?
Иара убас шәара аилацәажәарақәа шәрылххоит.	Также вы будете автоматически исключены из всех бесед сообщества.
Иарбаӡам/Иарбаӡам	Не указано/Не указано
Иарбаӡам	Не выбрана
иарбаӡам	не указан
- Иарбаӡам -	- Не указан -
Иарбаӡам	Не указан
иарбаӡам	не указана
Иарбаӡам	Не указана
Иарбаӡам	Не указано
Иарбаӡам	Не указаны
Иарбаӡом	Не показываются
Иарбам акатегориа	Не указана категория
иарбам	не указана
Иарбанзаалак ақалақь	Любой город
Иарбанзаалак амш:	Любой день:
Иарбанзаалак афакультет	Любой факультет
Иарбанзаалак ашықәс	Любой год
Иарбанзаалак гәыҩбарак шәзааир акыр ҳшәыҳәоит шәмиасын ари азхьарԥшала шәҩыза ишәзааишьҭзаргьы.	При любых сомнениях мы настоятельно советуем не переходить по этой ссылке, даже если её вам прислал друг.
Иарбанзаалакгьы	Любая
Иарбанзаалакгьы	Любой
Иарбанзаалакгьы	Любые
Иарбанзаалак еиҳау аҵараиурҭа	Любой университет
Иарбанзаалак	любой
Иарбанзаалак	Любой
Иарбанзаалак тәылак	Любая страна
Иарбанзаалак хкы	Любой тип
Иарбан сахьа еиӷьоу?	Какое фото лучше?
Иарбо аформат афаил иаднакылаӡом.	Данный формат файлов не поддерживается.
Иарбо	Показываются
Иарбоу абжьылда анумер ахархәара ҟалаӡом.	Нельзя использовать указанный номер телефона.
Иарбоу ажәамаӡақәа еиқәшәаӡом.	Введённые пароли не совпадают.
Иарбоу аизгақәа заҵәык	Только включённые
иарбоу аҭел аномер зыдҳәалоу адаҟьа аанкылоуп.	страница, к которой привязан указанный номер телефона, заблокирована.
Иарбоу аҭел аномер шәдаҟьа иадышәҳәалахьеит.	Указанный номер телефона уже привязан к вашей странице.
Иарбоу ацыԥхала анҵамҭа ыҟоуп.	Запись с указанным ключом уже существует.
Иарбоуп %s згәаҭак./Иарбоуп %s азгәаҭақәа/Иарбоуп %s азгәаҭақәа	Показана %s заметка./Показаны %s заметки./Показано %s заметок.
Иарбоуп ахыԥхьаӡараҭҵаарҭа {date} азы	Показана статистика за {date}
Иарбоуп аҵыхәтәантәи 1000 цыра аԥшаара алҵшәа	Показаны последние 1000 результатов поиска.
Иарбоуп аҵыхәтәантәи ажәабжьқәа//	Показаны последние новости//
Иарбоуп аҵыхәтәантәи ардыррақәа	Показаны последние уведомления
Иарбоуп ииашам email.	Указан неверный email.
Иарбоуп ииашам email.	Указан неверный Email.
Иарбоуп ииашам ажәамаӡа.	Указан неверный пароль.
Иарбоуп ииашам аномер мамзар email.	Указан неверный телефон или email.
Иарбоуп иԥшаау аилкаанҵақәа	Показаны найденные статьи
Иарктәуп, ахә шьатәуп	Закрыть и оценить
Иарку агәыԥ аҟынтәи аҭыҵра	Выход из закрытой группы
Иарку агәыԥ	Закрытая группа
Иарку адаҟьа	Закрытый профиль
Иарку аԥшьқәа рыхәаԥшра	Посмотреть заблокированные приложения
Иарку аусмҩаԥгатә аҟны анапхгаҩы заҵәык ааԥхьара ҟаиҵар илшоит.	На закрытое мероприятие может пригласить только администратор.
Иарку аусмҩаԥгатәы	Закрытое мероприятие
Иарку	Закрытая
Иарку	Закрытое
иаркуп	закрыт
Иаркуп	Закрыт
Иаркуп	Закрытая
Иаркуп	Закрытое
Иаркуп	Закрытый
иаркуп/иаркуп/иаркуп	закрыт/закрыто/закрыто
Иарҿыцуп %s	Обновлено %s
Иаҭахым, SMS ааит	Не надо, SMS пришло
Иаҭахым, ажәамаӡа исоухьеит	Не надо, код получен
Иаҭахым арбара адаҟьаҿы	Не показывать на странице
Иау	Длинные
Иахәҭоуп Flash Player	Необходим Flash Player
Иахәҭоуп Unity Web Player	Необходим Unity Web Player
Иахәҭоуп ишәгәалашәозар ашәарҭадаратә ԥҟара хадақәа Аинтернет аҟны:	Необходимо помнить об основных правилах безопасности в Интернете:
Иахыркәшоуп	Закончено
Иахьа {names} имш иироуп/Иахьа {names} лымш иироуп	Сегодня день рождения {names}/Сегодня день рождения {names}
Иахьа (UTC +3)	Сегодня (UTC +3)
Иахьа агәалашәаратә мшуп	Сегодня День Памяти
Иахьа Адунеитә аҳәса рымш аныҳәоуп. Шәара ишәылшоит аҳәса аҳамҭақәа рзышәышьҭыр.	Сегодня отмечается Международный женский день. Вы можете отправить подарки женщинам.
Иахьа асааҭ 15:00 рзы МСК	Сегодня в 18:00 МСК
Иахьа асааҭ 21:00 рзы	Сегодня в 21:00
Иахьа Атәылахьчаҩцәа рымшуп	Сегодня День защитника Отечества
Иахьа иазгәарҭоит Аиааира амш	Сегодня День Победы
Иахьа иазгәарҭоит Атәылахьчаҩцәа рымш.	Сегодня отмечается День защитника Отечества.
Иахьа иазгәарҭоит Ашықәс ҿыц	Сегодня Новый год
иахьа иирамш ауп/иахьа лирамш ауп	сегодня отмечает день рождения/сегодня отмечает день рождения
Иахьа иҟалоит аусмҩаԥгатәы {names}/Иахьа иҟалоит аусмҩаԥгатәқәа {names}/Иахьа иҟалоит аусмҩаԥгатәқәа {names}	Сегодня состоится мероприятие {names}/Сегодня состоятся мероприятия {names}/Сегодня состоятся мероприятия {names}
Иахьа имҩаԥысуеит иглобалтәиу ижәларбжьаратәиу акцив «Адунеи Асааҭ», уи инамаркны ВКонтакте насгьы Адунеитә абнатә ԥсабара афонд ааԥхьара ҟарҵоит алашара арцәаразы	Сегодня проводится глобальная международная акция «Час Земли», в ходе которой ВКонтакте и Всемирный фонд дикой природы призывают выключить свет
иахьа иҵуеит %s шықәсык/иахьа иҵуеит %s шықәса/иахьа иҵуеит %s шықәса	сегодня исполняется %s год/сегодня исполняется %s года/сегодня исполняется %s лет
Иахьа	Сегодня
Иахьа	Сегодня:
Иахьатәи амшеикәшара	События на сегодня
Иахьышьҭоу аҭыԥ	Местоположение
Иаҳзанышәҵа	Напишите нам
Иаҳҳәап: Google, Apple, Xiaomi, HP	Например: Google, Apple, Xiaomi, HP
Иаҳҳәап: Pixel 2 XL, iPhone X, Mi A2, Macbook Pro 15" 2017, Pavilion Gaming 17	Например: Pixel 2 XL, iPhone X, Mi A2, Macbook Pro 15" 2017, Pavilion Gaming 17
Иаҳҳәап: site.com	Например: site.com
Иаҳҳәап: Кьасоу Ҳагба, Хьыбла Мықәба.	Например: Анна Петрова, Ян Иванов.
иациҵеит агәазыҳәара./иацылҵеит агәазыҳәара.	добавил желание./добавила желание.
Иацлараны иҟоу аԥшьы	Добавляемое приложение
Иацҵаз рҟнытә агара	Убрать из добавленных
Иацҵаны	Дополнительно
Иацҵаны:	Дополнительно:
Иацҵоуп {date}	Добавлено {date}
Иацҵоуп %s	Добавлена %s
Иацҵоуп %s	Добавлено %s
Иацҵоуп аԥшранҵа ҿыц	добавлена новая фотография
иацҵоуп аҭитә {link}ҿыц{/link}	добавлен новый {link}товар{/link}
Иацҵоуп	Добавлена
Иацҵоуп	Добавленные
Иацҵоуп	Добавлено
Иацҵу	Добавленные
Иацҵуп	Добавлено
Иацҿаку асаитқәеи аԥшьқәеи	Подключённые сайты и приложения
Иацы	Вчера:
Иацырҵеит	Добавили
Иацышәҵа аԥшранҵа	Добавьте фотографию
Иацышәҵар ишәҭаху афакультет ашьҭаҵарҭатә дыррақәа рҟны иҟоуп.	Факультет, который вы пытаетесь добавить, уже есть в базе данных.
Иацышәҵар ишәҭаху ашкол ашьҭаҵарҭатә дыррақәа рҟны иҟоуп.	Школа, которую вы предлагаете добавить, уже есть в базе данных.
Иацышәҵар ишәҭаху еиҳау аҵараиурҭа ашьҭаҵарҭатә дыррақәа рҟны иҟоуп.	Вуз, который вы предлагаете добавить, уже есть в базе данных.
Иацышәҵо амҩа ашьҭаҵарҭатә дыррақәа рҿы иҟоуп.	Улица, которую вы пытаетесь добавить, уже есть в базе данных.
Иаҵанакәа аформатқәа: AVI, MP4, 3GP, MPEG, MOV, MP3, FLV мана WMV.	Не должен противоречить законодательству РФ и Правилам ВКонтакте
Иаҿакқәоуп	Включены
Иаҿакуп	Включен
Иаҿакуп	Включён
Иаҿакуп	Включена
Иаҿашәкыр шәылшоит ҳара ихарҭәаау ахьчаратә еилазаара — аҭалара ашьақәырӷәӷәара: https://vk.com/wall-59800369_7522. Аҿакра аԥхьа, агәра жәга шәдаҟьа аҭел аномери а-email-и шадҳәалоу. Убасгьы ихадоуп шәдаҟьаҿы иҟазар шәыԥшранҵаҵәҟьа, ибзианы шәхашәҿы ахьубарҭо, иҵәаху альбомқәа рҿы иадамхаргьы.	Вы можете подключить нашу дополнительную систему защиты — подтверждение входа: https://vk.com/wall-59800369_7522. Перед подключением убедитесь в том, что к аккаунту привязаны и номер телефона, и email. Также важно, чтобы на странице были настоящие фотографии, где хорошо видно Ваше лицо, хотя бы в скрытых альбомах.
Иаҿуп ахәԥсашәара	Идёт оплата
Иаҿыхқәоу акьачакьқәа	Отключенные стикеры
Иаҿыхқәоуп	Отключена
Иаҿыхқәоуп	Отключены
Иаҿыхуп	Выключен
иаҿыхуп	выключена
Иаҿыхуп	Выключена
Иаҿыхуп	Выключено
Иаҿыхуп	Выключены
Иаҿыхуп	Отключено
Иашам атегқәа	Неправильные теги
Иаша	Яша
Иашәмырбаӡеит email.	Вы не ввели email.
Иашәҭа азҵаара	Задайте вопрос
Иашәырба email	Введите email
Иашәырба email шәдаҟьа адҳәалара зылшоз	Укажите email, который мог быть привязан к аккаунту
Иашәырба ID	Введите ID
Иашәырба абдуцәеи андуцәеи рыхьӡқәа	введите имя дедушки или бабушки
Иашәырба абжьылда аномер	Укажите номер телефона
иашәырба аб мамзаргьы ан рыхьӡ	введите имя отца или матери
Иашәырба абызшәа	Введите название языка
Иашәырба адаҟьа ахьӡ	Введите название страницы
Иашәырба аелектронтә ԥошьҭа аҭыӡҭыԥ	Укажите адрес электронной почты
Иашәырба ажәамаӡа	Введите код
Иашәырба ажәамаӡа	Введите пароль
Иашәырба ажәла, иарбоу шәдаҟьаҿы	Введите фамилию, указанную на вашей странице
Иашәырба ажәла мамзаргьы ахьӡ	Введите имя или фамилию
Иашәырба ажәлеи ахьӡи	Введите имя или фамилию
Иашәырба ажәытә ажәамаӡа.	Укажите старый пароль.
Иашәырба азгәаҭа ахьӡ	Введите название заметки
Иашәырба аизга ахьыӡ	Введите название подборки
Иашәырба аилазааратә гәыԥ ахьӡ	Введите название сообщества
Иашәырба аилак ахьыӡ.	Введите название сообщества.
Иашәырба аилак ахьыӡ...	Введите название сообщества...
Иашәырба аилахәыра	Укажите компанию
Иашәырба аилацәажәара ахьӡ	Введите название беседы
Иашәырба аилацәажәара ахьӡ	Введите название чата
Иашәырба ақалақь...	Введите город...
Иашәырба ақәра цқьа аилкааразы	Уточните возраст
Иашәырба алахәылаҩ ихьӡ...	Введите имя партнёра...
Иашәырба альбом ахьӡ	Введите название альбома
Иашәырба амзыз:	Укажите причину:
Иашәырба аномер ахьыӡ	Введите название номера
Иашәырба аномер	Введите номер
Иашәырба аԥшранҵа ашәага	Укажите размер фотографии
Иашәырба аԥшьы ахьӡ	Введите название приложения
Иашәырба атеқст аԥшранҵазы	Укажите текст для фотографии
Иашәырба аҭыӡҭыԥ	Введите адреc
Иашәырба аҭыӡҭыԥ	Введите адрес
Иашәырба аҭыӡҭыԥ	Указать адрес
Иашәырба аҭыԥ, аԥшранҵақәа ахьыҟаҵаз	Укажите место, где были сделаны фотографии
Иашәырба аҭыԥ	Укажите место
Иашәырба ахархәаҩ ихьӡ	Начните вводить имя пользователя
Иашәырба ахаҵара-аԥҳәысра	Укажите пол
Иашәырба ахәмарра ахьыӡ	Введите название игры
Иашәырба ахәԥса...	Введите цену...
Иашәырба ахәԥса	Добавить цену
Иашәырба ахыԥхьаӡара	Введите число
Иашәырба ахьӡ	Введите имя
Иашәырба ахьӡ	Введите название
Иашәырба ахьӡ...	Введите название...
Иашәырба ахьӡ:	Введите название:
Иашәырба ахьӡмаӡа	Введите код
Иашәырба ахьӡмаӡа:	Введите код:
Иашәырба ахьӡ мамзаргьы анагӡаҩ	Введите название или исполнителя
Иашәырба ахьӡ	Начните вводить имя
Иашәырба ахьӡ	Начните вводить имя...
Иашәырба ахьыӡ	Введите имя
Иашәырба ахьыӡ	Введите название
Иашәырба ахьыӡ...	Введите название...
Иашәырба аҵараиурҭа...	Введите университет...
Иашәырба аҩыза ихьӡ...	Введите имя друга...
Иашәырба аҩыза ихьӡ	Начните вводить имя друга
Иашәырба аҩызцәа ишәҵәахырц ишәҭаху	Выберите, кого вы хотите скрыть
Иашәырбаз PIN иашаӡам.	Неверный PIN-код.
Иашәырбаз ажәамаӡақәа еиқәшәаӡом.	Введённые пароли не совпадают.
Иашәырба иарбанызаалак ахьӡ ма ажәа	Введите запрос
Иашәырба ииашоу аҭел аномер	Введите верный номер телефона
Иашәырба шә-email асаит аҟынтәи аҳәарақәа реизгара азы	Укажите корректный Email для сбора заявок с сайта
Иашәырба шә-email	Введите email
Иашәырба шә-email	Укажите email
Иашәырба шәажәамӡа	Введите ваш пароль
Иашәырба шәара шәеимадарақәа	Укажите ваши контакты
Иашәырба шәдаҟьа иадышәҳәало аномер. Ҳара уахь ҳасуеит иҷыдоу аномер ала, мамзар ишәзынаҳашьҭуеит акод змоу SMS. Уи хәыда-ԥсадоуп.	Укажите ваш номер, к которому будет привязана страница. Мы совершим на него звонок-сброс с уникального номера или вышлем SMS с кодом. Это бесплатно.
Иашәырба шәеилазааратә гәыԥ аҭыӡҭыԥ:	Адрес вашего сообщества:
Иашәырба шәҵараиурҭа	Укажите вашу школу
Иашәырба шәыбжьылда аномер.	Введите номер вашего телефона.
Иашәырба шәыбжьылда аномер	Введите номер телефона
Иашәырба шәыжәла	Введите фамилию
Иашәырба шәымш иира	Укажите дату рождения
Иашәырба шәҩыза ихьӡ	Введите имя друга
Иашәырба шәҩыза ихьӡ мамзаргьи уи изхьарԥш	Введите имя друга или ссылку
Иашәырба шәҩыза мамзаргьы аилазааратә гәыԥ рыхьӡ	Начните вводить имя друга или название сообщества
Иашәырбеит ииашам адыррақәа.	вы ввели неверные данные.
Иашәырбеит ииашам ажәамаӡа	Вы ввели неверный код
Иашьҭанеиуа ажәеиларкка аарԥшра/Иашьҭанеиуа ажәеиларккақәа раарԥшра/Иашьҭанеиуа ажәеиларккақәа раарԥшра	Показать следующий комментарий/Показать следующие комментарии/Показать следующие комментарии
Иаҩцам	Умеренные
Ибжьы иҭиит %s уаҩык/Рыбжьы рҭиит %s ҩык/Рыбжьы рҭиит %s ҩык	Проголосовал %s человек/Проголосовали %s человека/Проголосовали %s человек
Ибзиоу ажәамаӡа - 6 дыргаки,анбанқәеи арыцхәқәеи инареиҵамкәа	Хороший пароль — не менее 6 символов, букв и цифр
Ибзиоу ажәамаӡа	Хороший пароль
Ибзиоуп, бумер	Окей, бумер
Иван Алексеев ишиашоу ицо атранслиациа далагеит	Иван Алексеев начал прямую трансляцию
Иван Козлов	Иван Козлов
Иван Корнеев	Иван Корнеев
Игәаԥхеит %s /Иргәаԥхеит %s ҩык/Иргәаԥхеит %s ҩык	Понравилось %s человеку/Понравилось %s людям/Понравилось %s людям
Игәаԥхеит %s уаҩык/Иргәаԥхеит %s ҩык/Иргәаԥхеит %s ҩык	Понравилось %s человеку/Понравилось %s людям/Понравилось %s людям
Игәаԥхеит %s ҩык/Иргәаԥхеит %s ҩык/Иргәаԥхеит %s ҩы	Понравилось %s человеку/Понравилось %s людям/Понравилось %s людям
Игәаҭоуп	Проверено
Игәашәҭ, ари адрес {email} шәԥошьҭаҿ асиа еиқәаҵәа ахьану адрескәа рҿы ианымзар.	Проверьте, что адрес {email} не содержится в Чёрном списке адресов вашей почты.
Игәашәҭ, ари аҭыӡҭыԥ {email} шәԥошьҭаҿ аҭыӡҭыԥқәа рыхьӡынҵеиқәаҵәаҿы ианызар.	Проверьте, что адрес {email} не содержится в Чёрном списке адресов вашей почты.
Игәнаҳгоит, аспамерцәа шәдаҟьа рхы иахьадурхәаз ауааҭрацәа алаларазы агәыԥқәа аӡыргареи агәыԥқәа реиӷьтәрази.	К сожалению, спамеры использовали Вашу страницу для массового вступления в группы в целях рекламы и раскрутки этих групп.
Игориок	Игорёк
Иӷәӷәоу ажәамаӡа	Сильный пароль
идаҟьа абарҭ ажәақәа рыла ианыихит:/лдаҟьа абарҭ ажәақәа рыла ианылхит:	удалил страницу со словами:/удалила страницу со словами:
Идәықәҵатәуп	Отправить
Идәықәҵоу	Отправленные
идинамиктәу	динамический
Идырым ашҟа ҟалоит.	Произошла неизвестная ошибка.
Иеицҵалыху амҽхак	Суммарный охват
Иекатеринбург	Екатеринбург
Ижәытәу ажәамаӡа	Старый пароль
Изаамҭанытәиу аҽазыҟаҵарақәа зегьы арбара	Показать все текущие занятия
Изаамҭанытәу азҵаарақәа	Текущие вопросы
Изааныркылои аилазааратә гәыԥқәа?	За что блокируют сообщества?
Изакәи аҭоурыхқәа?	Что такое истории?
Изакәуи ари?	Что это?
Избарҭада {tag}анҵамҭақәа рыхцәажәарақәа{/tag}	Кто видит {tag}комментарии к записям{/tag}
Избарҭада {tag}сара сҩызцәеи снапаҵаҩҩцәеи{/tag} рсиаҟынтә	Кого видно в списке {tag}моих друзей и подписок{/tag}
Избарҭада {tag}смузыкақәа{/tag} рсиа	Кто видит {tag}список моих аудиозаписей{/tag}
Избарҭада анҵамҭақәа рыхцәажәарақәа	Кто видит комментарии к записям
Избарҭада аԥшранҵақәа, {tag}сахьадырбаз{/tag}	Кто видит фотографии, {tag}на которых меня отметили{/tag}
Избарҭада аԥшранҵақәа, сахьадырбаз	Кто видит фотографии, на которых меня отметили
Избарҭада атәым нҵамҭақәа {tag}сдаҟьаҿы{/tag}	Кто видит чужие записи {tag}на моей странице{/tag}
Избарҭада атәым нҵамҭақәа сдаҟьаҿы	Кто видит чужие записи на моей странице
Избарҭада сара сҩызцәеи снапаҵаҩҩцәеи рсиаҟынтә	Кого видно в списке моих друзей и подписок
Избарҭада смузыкақәа рсиа	Кто видит список моих аудиозаписей
Избода {tag}сара иҵәаху сҩызцәа{/tag}	Кто видит {tag}моих скрытых друзей{/tag}
Изгоит	Беру
ИЗГОИТ	БЕРУ
Издырыр зылшода с-IP-ҭыӡҭыԥ асрақәа рҿы	Кто может узнать мой IP-адрес в звонках
Изеиԥшразаалак аҭагылазаашьа	Любой статус
Изеиԥшразаалак	Любая
Изеиԥшразаалак	Любое
Изеиԥшразаалак	Любой
Изеиԥшразаалак	Любые
Изеиԥшу аҩызцәа	Общие друзья
Иззы:	Кому:
Изқәиҭым	Запрещён
Изҟынтә аҳәарақәа {tag}аҩызара ацҵаразы иааиуа ацҳарақәа{/tag}	О каких заявках {tag}в друзья приходят оповещения{/tag}
Изҟынтә аҳәарақәа аҩызара ацҵаразы иааиуа ацҳарақәа	О каких заявках в друзья приходят оповещения
Излашәыдахо аинформациа мамзаргьы анеирҭа шәыԥсахит. Агәраганы шәыҟоума аԥсахрақәа шьақәмырӷәӷәакәа адаҟьа ааныжьны шәцар шышәҭаху?	Вы изменили информацию о ваших контактных данных или доступе к ним. Вы уверены, что хотите покинуть страницу без сохранения изменений?
— изныкымкәа ажәабааԥсқәа рхархәара;	— неоднократное употребление бранных слов;
Изхьаԥшит	Подписались
Изҿлымҳау амузыка	Популярная музыка
Изылшода {tag}анаԥхьара аԥшьқәа рахь{/tag}	Кто может {tag}приглашать меня в приложения{/tag}
Изылшода {tag}аҭоурыхқәа рҟны сара исызку адныҳәаларақәа рбара{/tag}	Кто может {tag}видеть поздравления для меня в историях{/tag}
Изылшода {tag}сааԥхьара аԥшьқәа рҿы{/tag}	Кто может {tag}вызывать меня в приложениях{/tag}
Изылшода {tag}сара асзасра{/tag}	Кто может {tag}мне звонить{/tag}
Изылшода {tag}сынҵамҭақәа рыхцәажәара{/tag}	Кто может {tag}комментировать мои записи{/tag}
Изылшода анаԥхьара аԥшьқәа рахь	Кто может приглашать меня в приложения
Изылшода анҵамҭақәа рааныжьра {tag}сдаҟьаҿы{/tag}	Кто может оставлять записи {tag}на моей странице{/tag}
Изылшода анҵамҭақәа рааныжьра сдаҟьаҿы	Кто может оставлять записи на моей странице
Изылшода аԥшранҵақәа рҿы сазгәаҭара	Кто может отмечать меня на фотографиях
Изылшода аҭоурыхқәа рҟны сара исызку адныҳәаларақәа рбара	Кто может видеть поздравления для меня в историях
Изылшода сааԥхьара аԥшьқәа рҿы	Кто может вызывать меня в приложениях
Изылшода сара асзасра	Кто может мне звонить
Изылшода сынҵамҭақәа рыхцәажәара	Кто может комментировать мои записи
Изҩымҭоу изинҭарада абжьынҵамҭа ахархәара иақәиҭтәым.	Аудиофайл не должен нарушать авторские и смежные права.
Изҩымҭоу изинҭарада видеонҵамҭа ахархәара ҟалашьа амаӡам.	Не должен содержать порнографические изображения несовершеннолетних
и	и
И	И
Ииаган ахәԥса	Платеж проведён
Ииасхьоу амчыбжь	Прошлая неделя
Ииасхьоу аусмҩаԥгатәқәа	Прошедшие мероприятия
Ииасхьоу	Прошедшее
Ииашам email арбоуп.	Введён неверный email
Ииашам ажәамаӡа.	Неверный код.
Ииашам азхьарԥш (азин рымоуп ВКонтакте аҩныҵҟатәи азхьарԥшқәа заҵәык)	Неправильная ссылка (допустимы только внутренние ссылки ВКонтакте)
Ииашам ақалақь ма аҳәынҭқарра	Неверный город или страна
Ииашам алогин ма ажәамаӡа арбоуп.	Указан неверный логин или пароль.
Ииашам атег: {tag}	Неправильный тег: {tag}
Ииашам аформат email.	Неверный формат email.
Ииашам ахкы	Неверный тип
Ииашам ацаԥха ахьӡ.	Неправильное название ключа.
Ииашам ашықәс	Неверный год
Ииашан, абонус бзиа уанақәдыргәыӷлак азхьарԥш ашҟа аиасразы, иуҭаххоит ишаны зегьы-зегьы арзышьҭра. Амала ари аҩыза аларҵәара ашьҭахь шәдаҟьа аанкылахоит. Избанзар ари спамҵәҟьоуп. Ҳара мап ацәаҳкуеит изеиԥшразаалак ареферальтә зхьарԥшқәа, бааԥсылагьы шаҭарада шәахьҳархәуеит.	Разумеется, когда обещают хороший бонус всего лишь за переход по ссылке, хочется отправить эту ссылку всем-всем-всем. Только вот после подобной рассылки Ваша страница будет заморожена. Ведь это и есть не что иное, как спам. Мы крайне отрицательно относимся к любым реферальным ссылкам, за них наказываем жестоко и беспощадно.
Ииашаны амԥсахра ҟашәҵарц азы шәхы иашәырхәар ҟалоит иҷыдоу адырга «Ахыҵхырҭа арбара» анҵамҭаҟны: vk.com/@adminsclub-citation	Для корректного заимствования можно использовать специальную метку «Указать источник» в записи: vk.com/@adminsclub-citation
Ииашацәҟьаны абри ацыԥха анышәхыр шәҭахума?	Вы действительно хотите удалить этот ключ?
Ииашаҵәҟьаны ишәҭахума ари азгәаҭа анышәхыр?	Вы действительно хотите удалить эту заметку?
Ииашаҵәҟьаны ишәҭахума ари алԥшаага аныхра?	Вы действительно хотите удалить эту подборку?
Ииашаҵәҟьаны ишәҭахума ари ахархәаҩ иҭауарқәа рыҵәахра?	Вы действительно хотите скрыть товары этого пользователя?
Ииашаҵәҟьаны ишәҭахума аҽаҵаҩҩра аԥыхра?	Вы действительно хотите отменить подписку?
Ииашоу азхьарԥшқәа	Прямые ссылки
Ииашоу акәакьқәа	Прямые углы
Ииашоу аҭак	Правильный ответ
Ииашоу аҭыӡҭыԥқәа	Прямые ссылки
Ииашоу аҭыӡҭыԥ	Прямая ссылка
Иктуалтәу	Актуальные
Иктуалтәу атемақәа	Актуальные темы
Икьаҿқәоу	Короткие
Икьаҿу адырранҵа	Короткое описание
Икьаҿу адырранҵа	Краткое описание
Икьаҿу ахьыӡ	Короткое имя
Икьаҿу	Короткие
Икьыԥхьеит — {user}	Опубликовал — {user}
Икьыԥхьеит/Лыкьыԥхьеит	Опубликовал/Опубликовала
Икьыԥхьеит	Опубликовал
Иқәганы ацҵара	Убрать и продолжить
Иқәышаҳаҭгоу адаҟьа	Верифицированная страница
Иҟаӡам иаашьҭу ахархәаҩҵәа	Нет приглашённых пользователей
Иҟалап азҿлымҳара амазар	Может быть интересно
Иҟалап, шәцар	Возможно, пойдёте
