Аилазааратә гәыԥ архиагақәа	Настройки сообщества
Сыльбом ахь аиқәырхара	Сохранить к себе в альбом
Шәыҽшьақәшәырӷәӷәароуп	Необходимо авторизоваться
Анҵамҭақәа рыхцәажәара аҿыхра	Отключить комментирование записей
Ацҳамҭа аспам еиԥш иазгәаҭан.	Сообщение было помечено как спам.
Иазышьҭу ааԥхьарақәа раарԥшра	Показать отправленные приглашения
Иаразнактәи адырраҭара арбара	Показывать мгновенные уведомления
Ажәабжьқәа рыхьӡынҵа ахьыӡ иауцәоуп	Название списка новостей слишком длинное
Шәеимадага аҟынтә бжьынҵамҭак алшәх	Выберите аудиозапись на вашем компьютере
Агха. Аҿаҵатәы ԥшаам.	Ошибка. Заказ не найден.
Азиндырратә еибыҳәара	Юридическая консультация
Альбом ахҟьас аҟаҵара	Сделать обложкой альбома
Аҭыӡҩыра ацҵара ауӡом	Нельзя добавить граффити
Ауаажәларатә еиҿкаара	Общественная организация
Аҵара амш адныҳәалара	Поздравить с Днём знаний
аҩызцәа рыхьӡынҵақәак	некоторым спискам друзей
Иашәырба азгәаҭа ахьӡ	Введите название заметки
Иргәаԥхеит 41 123-ҩык	Понравилось 41 123 людям
Избарҭада атәым нҵамҭақәа сдаҟьаҿы	Кто видит чужие записи на моей странице
Хәымш рҟынтәи знык еиҳамкәа	Не чаще одного раза в пять дней
Адаҟьа иқәышаҳаҭгоуп	Страница верифицирована
Администратор далшәх	Выберите администратора
Ажәеиларкка азнагара	Поделиться комментарием
Аиура азы ақәшаҳаҭра	Разрешение на получение
Алгамҭа аамҭа арбара	Указать время окончания
Анформациа иацəмаҷуп	Недостаточно информации
Ари иаӡбоит сызҵаара	Это решает мою проблему
Аусмҩаԥгатәы ҟалеит:	Мероприятие состоялось:
Ахатә даҟьаҿы ианҵоу	Опубликованные на стене
Ахьӡ ишахәҭоу иарбам	Имя указано некорректно
Иҟалар зылшоз алахәылацәақыҟаӡам.	В сообществе нет возможных участников.
Ахархәаҩцәа зегьы рхыԥхьаӡара, шәынҵамҭа збаз.	Количество всех пользователей, увидевших вашу запись.
Ҳара еиқәҳаршәеит аҳамҭа ҷыда, шәҩызцәа ирзышәышьҭыр иҟало.	Мы подготовили специальный подарок, который можно отправить друзьям.
Аҭагалара аан апроблема шәызцәыҵуазар, иалшозар иҭашәгал апатреҭ ашәага маҷны.	Если у вас возникают проблемы с загрузкой, попробуйте выбрать фотографию меньшего размера.
Шәдаҟьа аанкылоуп ицәахыхгоу ацҳамҭақәеи амақаррази.	Аккаунт заблокирован за оскорбительные сообщения или угрозы.
Ианкьыԥхьыз аамҭала арбара	Показать по времени публикации
Иҟаӡам иаашьҭу ахархәаҩҵәа	Нет приглашённых пользователей
Шәдаҟьа аанкылоуп зыгәрагам аилакрахь ахалархәразы.	Аккаунт заблокирован за подозрительное вступление в группу.
Иахьа иазгәарҭоит Атәылахьчаҩцәа рымш.	Сегодня отмечается День защитника Отечества.
Адистанционтә рцара	Дистанционное обучение
Ажәалагала гәаҭоуп.	Предложение проверено.
Аицлабра аҽалархәра	Участвовать в конкурсе
Алырыҩра арҵабыргра	Сбросить подтверждение
Альбом анапы аҵжьра	Редактирование альбома
Альбомаҿы акьыԥхьра	Опубликовать в альбоме
Ари ардырра аҵәахра	Скрыть это уведомление
Ацҳамҭа адҳәалара..	Прикрепить сообщение..
Иалышәх ахархәаҩцәа	Выберите пользователей
Иаԥхьам ҳәа алкаара	Отметить непрочитанным
инарҭбааны аилкаара	Рассказываем подробнее
Ҳаҭыр зқәу ахархәаҩ	Уважаемый пользователь
Аҭитә азнагара шәҩызцәеи шәҽаҵаҩҩцәеи рҟынӡа	Поделиться товаром с вашими друзьями и подписчиками
Абаг ахҳәаа аҩҩра шәалага	Начните вводить описание бага
Абжьылда аномер ԥсаххоит!	Номер телефона будет изменён!
Абыжьтәы дырраҭара аҿакра	Включить звуковые уведомления
Аҭоурых аҭагалара иамуит.	Не удалось загрузить историю.
Егьырҭ аԥшранҵақәа арбара	Показать остальные фотографии
Амобилтә бжьылда аномер аԥсахра	Изменение номера мобильного телефона
Уажәшьҭа ари ахьарԥш адаҟьаҿы иубарҭахоит.	Теперь эта ссылка будет отображаться на странице.
Иашәырба аҭыԥ, аԥшранҵақәа ахьыҟаҵаз	Укажите место, где были сделаны фотографии
Иазназгақәаз рсиа арбара	Показать список поделившихся
Ҳшәыҳәоит, иашәырба ахьӡ	Пожалуйста, введите название
Ажәеиларкка нҵара.	Написать комментарий.
Ааԥхьара ақәиҭтәра	Разрешить приглашения
Адаҟьа аус адулара	Действия со страницей
Аилакра аанкылоуп.	Группа заблокирована.
Аинформациа ацҵара	Добавление информации
Ардыррақәа аҿакуп.	Уведомления включены.
Ацхыраарахь ашьҭра	Отправить в Поддержку
Иалху иҿцәажәаҩцәа	Выбранные собеседники
Шәдаҟьа аанкылоуп абри ахархәаҩ аҩызцәа рахь иацҵараз адгалар ашьҭразы:	Аккаунт заблокирован за отправку рекомендаций добавить в друзья этого пользователя:
Аԥшранҵа шәҩызцәеи шәҽаҵаҩҩцәеи рҟынӡа азнагара	Поделиться фотографией с вашими друзьями и подписчиками
Шәдаҟьаҟны аелектронтә ԥошьҭа адҳәалаӡам.	К вашей странице не привязана электронная почта.
Амениу аҟны апунктқәа рарбара	Настроить отображение пунктов меню
Ашырҳәа шәзыҽшьақәшәырӷәӷәом.	Мгновенная авторизация недоступна.
Еиԥшу аӡырҩрҭа аԥшаара иамуит	Не удалось найти похожую аудиторию
Мыцхәы иауу ацҳамҭа анышәҵеит	Вы ввели слишком длинное сообщение
Иалышәха аԥшранҵа, ахсаалахь иацышәҵар ишәҭаху	Выберите фотографию, которую хотите поместить на карту
Абаг қәҿиарала еиҭакуп.	Баг успешно отредактирован.
Аилакра иамазар алшоит:	Сообщество может содержать:
Аихара бзиаҿын ахәаԥшра	Смотреть в высоком качестве
Ахархәаратә аиқәшаҳаҭра	Пользовательское соглашение
Еиҳа ааԥхьарақәа арбара	Показать больше приглашений
Шәдаҟьа аанкылоуп абжьы аҭиира иахҟьаны.	Ваша страница заблокирована за продажу голосов.
Иалышәх авидеоҭаҩра шәкомпиутераҿы	Выберите видеозапись на вашем компьютере
Урысшәала арбара.	Показать на русском.
Абжьылдахь ашьҭра	Отправить на телефон
Адаҟьа иаанкылоуп	Аккаунт заблокирован
адаҟьахь ахынҳәра	вернуться к странице
Адаҟьахь ахынҳәра	Вернуться к странице
Ажәабжь акьыԥхьра	Опубликовать новость
Аилакра аанкылоуп	Группа заблокирована
Акод еиҭа аашьҭра	Выслать код повторно
Алахәҩыс аҟалашьа	Как стать участником
Альбом ҿыц аԥҵара	Создать новый альбом
Аԥшранҵа ҭагалара	Загрузите фотографию
Аԥшранҵахь аиасра	Перейти к фотографии
Ардыррақәа аҿакра	Включить уведомления
Ардыррақәа аҿакуп	Уведомления включены
Аспам азы азашшра	Пожаловаться на спам
Ахәмарра ихыртуп.	Игра разблокирована.
Ацҳамҭа дәықәҵоуп	Сообщение отправлено
ВКонтакте ацҵақәа	Приложения ВКонтакте
Иарбам акатегориа	Не указана категория
Шәҭауар ргәаԥхеит	Ваш товар понравился
Ари аҭел аномер шәхы архәара шәылшаӡом, иаанкылоу адаҟьа иахьадҳәалоуп иахҟьаны	Вы не можете использовать этот номер телефона, так как он привязан к заблокированной странице
Шәара ишәышьҭхьан ари абжьыҭиира шәдаҟьа ахь.	Вы уже отправляли это голосование к себе на страницу.
Шәара еиҳа ишәгәаԥхаз арбан?	Что Вам понравилось больше всего?
Иарбо аформат афаил иаднакылаӡом.	Данный формат файлов не поддерживается.
Адаҟьатәи сыԥшранҵақәа	Фотографии с моей страницы
Аҭак ҿыц ажәеиларккаҿы	Новый ответ в комментариях
Даҽа ҵараиурҭак ацҵара	Добавить учебное заведение
Сышкол ахьӡынҵаҿы иҟам	Я не могу найти свою школу
Адаҟьа аанкылан иахьышьҭыз зыгәра гам ацҳамҭақәа.	Аккаунт заблокирован за отправку подозрительных сообщений.
Адаҟьа аанкылан иахьышьҭыз зыгәра гам ацҳамҭақәа:	Аккаунт заблокирован за отправку подозрительных сообщений:
Аныҟәцаҩцәа рзы ахархагақәа	Инструменты для путешественников
Иахьа Атәылахьчаҩцәа рымшуп	Сегодня День защитника Отечества
Шәара ишәызҭагалаӡом ас еиԥш иҟоу аконтент, избанзар аԥшәма иҟынтә аилакы иазааит ашшԥхьыӡ.	Вы больше не сможете публиковать такой контент, поскольку на сообщество поступила жалоба от правообладателя.
инагӡаны арбара.	показать полностью.
Инагӡаны арбара.	Показать полностью.
Ишәыҩҩы ацҳамҭа.	Напишите сообщение.
Азинтә дырраҭара	Правовая информация
Аиагарақәа аиура	Получение переводов
Аилакқәа аԥышәҵа	Добавьте сообщества
Аиҭарбара аҿакра	Включить повторение
Анаҩс аиҭаҿаҵара	Воспроизвести далее
Анҵамҭа кьыԥхьуп	Запись опубликована
Аԥшранҵа алышәха	Выберите фотографию
Аԥшранҵа аԥсахра	Изменить фотографию
Аԥшранҵа арҿыцра	Обновить фотографию
Аԥшьы азыразхара	Одобрить приложение
Аҭагалара ацҵара	Продолжить загрузку
Ацҳамҭа ианыхуп.	Сообщество удалено.
Аҵыхәтәан иныхыз	Последние удалённые
Иҟашәҵа алаҳәара	Создайте объявление
Ихыҭҳәаау ашәара	Произвольный размер
Шәшьақәырӷәӷәоуп	Вы авторизованы как
Ари еиԥшу анҵамҭақәа ҵакыдоуп, баша асаит аҟьашьуеит, еиҳа ауаарацәа ацәханагалоит ари аҩыза ацҳамҭақәа рышьҭра. Ҳшәыҳәоит, шәҽалашәмырхәын ари аҩыза аус.	В подобных записях нет никакого смысла, они только засоряют сайт, провоцируя ещё большее количество людей на эти же опрометчивые действия. Пожалуйста, не участвуйте впредь в подобном.
Аԥшранҵақәа рыриашара	Редактирование фотографий
Еиԥшу аӡырҩрҭа аԥҵоуп	Создана похожая аудитория
Ажәақәа ацҳамҭаҿы еилыргам	Слова в сообщении не распознаны
Аԥшьы астатус аҟны аарԥшра	Показывать приложение в статусе
Иацҿаку асаитқәеи аԥшьқәеи	Подключённые сайты и приложения
Иԥхьакыз анҵамҭа кьыԥхьуп.	Отложенная запись опубликована.
Шәажәамаӡа аиакәым азҳәоуп	Ваш пароль был скомпрометирован
Аԥшранҵа аҭыӡҭыԥ қәҿиарала еиқәырхан	Местоположение фотографии успешно сохранено
ВКонтакте иаԥуп ахархәара ахыӡҵәҟьа инаӡаны, кириллицала иҩра. Иаҳҳәап: Кьасоу Ҳагба, Хьыбла Мықәба. Убри азы аҳәарақәак ахьӡ аԥсахрзы амодераторцәа изгәарҭо. Ҳшәыҳәоит, шәазԥшы ақәшаҳаҭра.	ВКонтакте принято использовать только настоящие имена в полной форме, написанные кириллицей. Например: Ян Иванов, Анна Петрова. Поэтому некоторые заявки на смену имени проверяются модераторами. Пожалуйста, дождитесь одобрения.
Аилакра шәацҳара аҭак ҟанамҵозар, онлаин шәырцәала.	Выключайте онлайн, когда сообщество не отвечает на сообщения.
Шәдаҟьа аанкылоуп зыгәрага аԥшьқәа рықәыргыларазы.	Аккаунт заблокирован за подозрительную установку приложения.
Шәзаҳәаз ашәҟәы Шәара ишәтәӡам	Запрошенная книга не принадлежит вам
Абыжьтәы дырраҭара аҿыхра	Отключить звуковые уведомления
Абжьынҵамҭа ахынҳәра	Восстановить аудиозапись
Акьыԥхьраз азыҟаҵара	Подготовить к публикации
Аныҳәа ҳзааигәахоит!	Праздник к нам приходит!
Иазышьҭу ааԥхьарақәа	Отправленные приглашения
Иалшәх аҵәахра амзыз	Выберите причину скрытия
Иашәырба альбом ахьӡ	Введите название альбома
Мыцхәы идуцәоуп ахьӡ	Слишком длинное название
Ахҳәаа ацышәҵа.	Добавьте описание.
Шәдаҟьа аанкылоуп ацҵара «аиқьтәра» ма амацзура азхьарԥшра иахҟьаны.	Ваша страница заблокирована за предложения «накрутки» или услуг по рассылке спама.
Мчыбжьыкахь знык еиҳамқәа алаҳәара	Оповещать не чаще одного раза в пять дней
Шәҩызцәа ирзымариахоит шәдырра, ииашацәҟьоу шәпатреҭ ҭашәгалар.	Друзьям будет проще узнать вас, если вы загрузите свою настоящую фотографию.
Аалыҵ «авидео» анапхгаҩы	руководитель продукта «Видео»
Еиҭагам ажәақәа раарԥшра	Показать непереведённые ключи
Иҭацәу адаҟьа ҿыц аԥҵара	Создать новую пустую страницу
Авидеонҵамҭа ԥшаам.	Видеозапись не найдена.
Ажәлар ракзаара амш	День народного единства
Амузикатә маругақәа	Музыкальные инструменты
Аофициалтә аилакра:	Официальное сообщество:
Афотосахьақәа ацҵам	Не приложены фотографии
Ахархәаҩ дыԥшааӡам.	Пользователь не найден.
Ишьақәырӷәӷәоу ауаа	Авторизованные партнёры
Шәынҵамҭа ргәаԥхеит	Ваша запись понравилась
Иаашьҭу ахарҳәаҩҵәа зегь раарԥшра	Показать всех приглашённых пользователей
Иалышәх амзыз.	Выберите причину.
Аилак адаҟьахь азышьҭра	Отправить на страницу группы
аилакратә аԥшьы авиџьет	виджет приложения сообщества
Ари анҵамҭа збарц зылшо	Кто сможет видеть эту запись
Асахьа авеқтортә формат	Векторный формат изображения
Асахьа арастратә формат	Растровый формат изображения
Ҳшәыҳәоит, иалшәх ахҟьа	Пожалуйста, выберите обложку
Шәԥочҭа шьақәырӷәӷәоуп.	Ваша почта уже подтверждена.
Аудионҵамҭа шәҩызцәеи шәҽаҵаҩҩцәеи рҟынӡа азнагара	Поделиться эпизодом подкаста с вашими друзьями и подписчиками
Зынӡа икьаҿуп аҭитә ахҳәаа.	Слишком короткое описание товара.
Иадаагалаз ажәабжь кьыԥхьуп	Опубликована предложенная новость
Аӡыргаратә хархәаҩ	Рекламный пользователь
Аҟазареи аԥшранҵеи	Искусство и фотография
Алаҳәара аанкылоуп	Объявление остановлено
Аофициалтә аилакра	Официальное сообщество
Аԥшранҵақәа ԥшаам.	Фотография не найдена.
Аргылареи аремонти	Строительство и ремонт
Арҽеиреи аргылареи	Ремонт и строительство
Атема ахьӡ аԥсахра	Изменить название темы
Ахҩылаанҵа аԥсахра	Редактировать описание
Аҳамҭақәа рыҵәахра	Скрывать блок подарков
Аҩышьаԥҟаратә агха	Орфографическая ошибка
Иаԥхьанеиуа асахьа	Предыдущее изображение
Имнеиӡеи ақәҿыҭра?	Не пришло уведомление?
Иԥшаау ахархәаҩцәа	Найденные пользователи
Аелектронтә ԥошьҭа ихарҭәаатәуп	Необходимо заполнить электронную почту
Изылшода анаԥхьара аԥшьқәа рахь	Кто может приглашать меня в приложения
Иҟалозар, иашәырба аизга ахьыӡ.	Пожалуйста, введите название подборки.
Зегьынџьара аҽышьақәырӷәӷәаразы иаку аԥҵамҭа	Единая платформа для авторизации во множестве сервисов
Аргылареи архитектуреи	Строительство и архитектура
Аҳәынҭқарратә аиҿкаара	Государственная организация
Даҽа ԥшранҵак ахсаалахь ацҵара	Добавить на карту ещё одну фотографию
Изылшода сааԥхьара аԥшьқәа рҿы	Кто может вызывать меня в приложениях
Имаҷу ахҳәаа ианаҭоит шәдаҟьа аиндивидуальность	Небольшое описание добавит вашей странице индивидуальности
Иаагоу амаҭәахә иаркуп иахьаҵанкуа	Данный материал заблокирован на территории
Адаҟьа ашҟа шәиас	Перейдите на страницу
Ажәабжь кьыԥхьуп.	Новость опубликована.
Азҵаара ҿыц аиура	Получить новый вопрос
Аилакқәа шәрыдгыл	Поддержите сообщества
Аинформациа шьҭуп	Информация отправлена
Аԥшранҵа ахәаԥшра	Посмотреть фотографию
Ардыррақәа аҿыхра	Отключить уведомления
Ахарҭәаара ацҵара	Продолжить заполнение
Ацҳамҭа ҿыц абжьы	Звук нового сообщения
Ашәа атекст ԥшаам	Текст песни не найден
Ашьақәырӷәӷәарахь	Перейти к авторизации
Ааигәа иацҵаз аҩызцәа	Недавно добавленные друзья
Адаҟьа иқәышаҳаҭгаӡам	Страница не верифицирована
Сзанааҭ ахьӡынҵаҿы иҟаӡам	Моей специальности нет в списке
Аҩбатәи аҩаӡара аиҵахы ацҵара	Добавить подзаголовок второго уровня
Шәара цҳамҭакгьы шәмышьҭӡеит.	Вы не отправили ни одного сообщения.
Аԥшранҵа аҭыӡҭыԥ қәҿиарала иныхын	Местоположение фотографии успешно удалено
Шәдаҟьа аанкылан игәрагам астатусазы:	Аккаунт заблокирован за подозрительный статус:
Аԥшьы аҳәоит шәеилектронтә ԥошьҭа аҭыӡҭыԥ	Приложение запрашивает доступ к вашему адресу почты
Шәдаҟьа аанкылоуп, избанзар шәара ҽаӡәы иԥшранҵақәа шәхы иашәырхәоит.	Ваша страница заблокирована, поскольку вы выдаёте фотографии другого человека за свои.
Адаҟьа ахархәара азуп иаарҳәу аилаӡараамаӡура ахҳәаақәа аилакра аҟынтәи.	Страница используется для обратной совместимости сервиса комментариев от имени сообщества.
Шәдаҟьа аанкылоуп, избанзар уаантә имҩаԥыган ашантажтә хархәара.	Ваша страница заблокирована, поскольку с неё осуществлялся шантаж пользователей.
Шәдаҟьа аанкылоуп, избанзар ҽаӡәы ихьӡала шәхы аашәырԥшуеит.	Ваша страница заблокирована, поскольку вы выдаёте себя за другого человека.
Иарбоу аҭел аномер шәдаҟьа иадышәҳәалахьеит.	Указанный номер телефона уже привязан к вашей странице.
Шәҩызцәеи шәҽаҵаҩҩцәеи рҟынӡа аԥшьы азнагара	Поделиться приложением с вашими друзьями и подписчиками
Сҩызцәа рыхьӡынҵа збар зылшо	Кто может видеть список моих друзей
Амзи амши мацара рарбара	Показывать только месяц и день
Аҷақ ахьӡ аԥсахра ҟалоит	Название кнопки можно изменить
Ахархәаҩцәа ԥшааӡам.	Пользователей не найдено.
Аҳаҭырларҟәратә ҵакы	Оскорбительное содержание
Ианышәҵа адаҟьа ахьӡ	Введите название страницы
Иашәырба аизга ахьыӡ	Введите название подборки
агәыԥахь анеирҭа	доступ к сообществам
Адгалара ҵәахуп.	Рекомендация скрыта.
Аиҭарбара аҿыхра	Отключить повторение
Амобилтә ԥшьақәа	Мобильные приложения
Апромокод аҿакуп	Промокод активирован
Аԥшранҵа аарҳәра	Повернуть фотографию
Аԥшранҵа армаҷра	Уменьшить фотографию
Аԥшранҵа ԥсахуп.	Фотография изменена.
Аԥшьы архиагақәа	Настройки приложения
Аԥшьы ахь аиасра	Перейти в приложение
Ардырра ацқьара:	Частота уведомлений:
Ардыррақәа аиура	Получать уведомления
Ари адаҟьа аркуп	Это закрытый профиль
Арҽеиратә усурҭа	Ремонтная мастерская
Аҭитә ҿыц ацҵара	Добавить новый товар
Аҭыхымҭа аԥсахра	Изменить изображение
ахархәаҩ иԥсахра	сменить пользователя
Ахыҵхырҭа ацҵара	Добавление источника
Ахьарԥш ариашара	Редактировать ссылку
Аҵаҳәара аҵәахра	Скрыть эту подсказку
ВКонтакте аԥҵаҩы	основатель ВКонтакте
Иаарту абжьыҭира	Открытое голосование
Шәдаҟьа аанаҳкылеит ареферальтә зхьарԥшқәа аларҵәаразы.	Мы заблокировали Вашу страницу за распространение реферальных ссылок.
Шәҩырақәа аилакра аҭӡамц ахь аҭаҩра уаҳа азин шәымаӡам.	На стену этого сообщества больше нельзя будет копировать ваши записи.
Шәдаҟьа аанкылан аҳәара аиҩызарахь азы:	Аккаунт заблокирован за отправку заявки в друзья:
Шхатә даҟьаҿ аҭоурых анҵатәума?	Опубликовать историю на вашей странице?
Азанааҭ ацҵаразы аҿахәҳәага	Заявка на добавление специальности
Адаҟьаҟны акьыԥхьра	Опубликовать на странице
Аҭел аномер арбаӡам	Не указан номер телефона
Даҽа архәҭак аҵцара	Добавить войсковую часть
Ихҩоу альбом ацҵара	Добавить закрытый альбом
Ааԥхьара аныхра	Удалить приглашение
Аԥшранҵа ахҳәаа	Описание фотографии
Ардырра ацқьара	Частота уведомлений
Арҵареи аҿиареи	Обучение и развитие
Асахьеи атексти	Изображение и текст
Аҭитә адҳәалара	Прикрепление товара
Ахәаԥшра ацҵара	Продолжить просмотр
Иалшәх аԥшьықәа	Выберите приложение
Иалышәх аԥшьқәа	Выберите приложения
ирҿыцуп абыржәы	обновлён только что
Ихадоу аԥшранҵа	Основная фотография
Уажәы акьыԥхьра	Опубликовать сейчас
Ҽазнык агәаҭара	Попробовать ещё раз
Аилак аԥшранҵақәа аԥшьы анеирҭа ақәиҭтәра	Разрешить приложению доступ к фотографиям сообщества
Аелектронтә ԥошьҭа ардырра	Электронная почта для уведомлений
Аԥышәа ариашара азин ааӡам	Нет прав на редактирование навыка
Амцҳәара мамзар ажьара	Обман или ввод в заблуждение
Иаагоу амаҭәахә иаркуп	Данный материал заблокирован
Шәдаҟьа аанкылоуп анаркотики арҩашьыга маҭәашьарқәа ахьышәҭиуаз азын.	Ваша страница заблокирована за продажу наркотических веществ или запрещённых препаратов.
Шәдаҟьа аанкылоуп абџьар аҭиира азы.	Ваша страница заблокирована за продажу оружия.
Аԥшранҵа хәыҷцәоуп	Фотография слишком мала
Ахҭысра аҽалархәра	Участвовать в челлендже
Даҽа аҭитәы арбара	Показать ещё один товар
Егьи амзыз арбара:	Указать другую причину:
Мчыбжьык аанкылара	Заблокировать на неделю
Шәызмыԥхьац ацҳара	Непрочитанные сообщения
Адаҟьа наӡаӡа иаанкылоуп.	Страница заблокирована навсегда.
Аԥшранҵа аҭагалара иамуит	Не удалось загрузить изображение
Шәдаҟьа аанкылан игәрагам арзаҳал аҭагаларазы:	Аккаунт заблокирован за загрузку подозрительного документа:
Араҟа Шәара ишәылшоит еиуеиԥшым азҵаара аҭара ВКонтакте азы.	Здесь вы можете задать любой вопрос об управлении своими данными и их защите.
Ахҭыс арҵабыргразы еиҭах иҭажәгалароуп ажәамаӡа шәдаҟьа аҟынтә.	Для подтверждения действия вам необходимо заново ввести пароль от вашей страницы.
Ацҳамҭа ҿыц ԥаҳәрада иацҵан.	Новая запись была успешно добавлена.
Шәазыҳәамҭа ала акгьы ԥшаам.	По вашему запросу ничего не найдено.
Ажәла ишахәҭоу иарбам	Фамилия указана некорректно
Ахатә цҳамҭала ашьҭра	Отправить личным сообщением
Шәдаҟьа аанкылан игәрагам аҭаҩра аҭагаларазы:	Аккаунт заблокирован за публикацию подозрительных записей:
Шәыцҳамҭа ҿыцқәа ахәаԥшра шәылшоит адаҟьаҟны:	Просмотреть ваши новые личные сообщения можно на странице:
Адаҟьа ҿыц аԥҵара	Создать новую страницу
Адырраҭара ыҟаӡам	Информация отсутствует
Анаплыхи аҟазареи	Рукоделие и творчество
Аԥшранҵа азнагара	Поделиться фотографией
Аспорттә еиҿкаара	Спортивная организация
Даҽа ҳамҭак алхра	Выбрать другой подарок
Шәара шәадҵаалеит ВКонтакте шәдаҟьа иазкны. Иара азыҟаҵара аамҭак агар алшоит. Афаил аныҟалалк, анҵаразы ишәзааҳашьҭоит ақьаад аӡхьарԥш аманы.	Вы запросили архив данных о вашем профиле ВКонтакте. Его подготовка может занять некоторое время. Когда файл будет сформирован, мы отправим вам письмо со ссылкой для скачивания архива.
Ари абаг шәара ишәзеиҭакӡом	Вы не можете редактировать этот баг
Уи аҳәара шәыдышәкылахьеит.	Вы уже приняли эту заявку в друзья.
Шәазыҳәамҭа ала акгьы ԥшаам	По вашему запросу ничего не найдено
Аилак аҭӡахьы аиасра	Перейти к стене сообщества
Аилырхра нас арҳәара	Перемешать и воспроизвести
Амш иира адныҳәалара	Поздравить с днём рождения
Аԥшьқәа рсиа аарԥшра	Показать список приложений
Ари адаҟьа аанкылоуп	Эта страница заблокирована
Ари сыуадаҩра аӡбуам	Это не решает мою проблему
Ацҳамҭа ахархәаҩ изы	Сообщение для пользователя
Ацҳара атекст арбара	Показывать текст сообщений
Иацҵоуп аԥшранҵа ҿыц	добавлена новая фотография
Иԥсхьоу ауаҩы идаҟьа	Страница умершего человека
Агха еиҭа ицәырҵуа иалагар, афотосахьа ахаҭа еиқәырханы дырҩегьых иҭажәгала.	Если ошибка продолжает возникать, попробуйте сохранить оригинал фотографии и загрузить её повторно.
Ацыԥха ҿыц ахәҭеи ахьӡи	Раздел и название нового ключа
Шәдаҟьа аамҭала иаанкылоуп апорнографиатә нҵамҭа аҭыжьразы. Анҵамҭақәа аныхымзар, аанкылара наӡаӡахоит.	Аккаунт временно заблокирован за публикацию порнографических материалов. Если материалы не будут удалены, блокировка будет пожизненной.
Шәалхра азгәаҭоуп абжьыҭиираҟны.	Ваш выбор учтён в результатах голосования.
Ақьаад аԥшранҵа:	Фотография документа:
Анапхгаҩы ацҵара	Добавить руководителя
анҵамҭа ариашара	редактирование записи
Арҵареи аҟазареи	Обучение и творчество
Асахьа аҭагалара	Загрузить изображение
ауаа зегь рҟынтә	от всех пользователей
Ауаа зегь рҟынтә	От всех пользователей
ахархәаҩ ихьӡала	от имени пользователя
Ахьыӡ кьаҿцәоуп.	Слишком короткое имя.
Ари аизга аҿы абжьынҵамҭақәа ыҟаӡам	В этом плейлисте пока нет ни одной аудиозаписи
Шәдырра ҿыцқәа шәдаҟьаҿы иарбахоит.	Новые данные будут отражены на вашей странице.
Абжьынҵамҭа аԥсахра	Редактировать аудиозапись
Ари ақьаад ианыхан.	Этот документ был удалён.
Иашәырба аҩыза ихьӡ	Начните вводить имя друга
Иқәышаҳаҭгоу адаҟьа	Верифицированная страница
Сдаҟьа ашҟа аиагара	Поместить на мою страницу
Аԥшранҵа ҭагалаӡамызт.	Фотография не была загружена.
Мышкы знык еиҳамқәа алаҳәара	Уведомлять не чаще одного раза в день
ООО «Меил.Ру» амаӡара аполитика	Политика конфиденциальности ООО «Мэйл.Ру»
Абри аматериал зышәкьыԥхьи?	Зачем вы опубликовали этот материал?
Абжьтәы цҳамҭа аԥыхра	Отменить голосовое сообщение
Аилацәажәара шәалцан.	Вы были исключены из беседы.
Аԥшранҵа шәдаҟьа аҟны	Фотография на вашей странице
Аԥшьқәа реизга аныхра	Удаление подборки приложений
Авидеонҵамҭа аркра	Прикрепление видеозаписи
Аԥшранҵа аанкылоуп	Фотография заблокирована
Аҭыӡҭыԥ аиқәырхара	Сохранить местоположение
Ацҳамҭа ацҵара.	Напишите что-нибудь.
Ааԥхьара аԥыхра	Отменить приглашение
Адаҟьа аиҭагара	Перевести в страницу
Аиҭагаҩ иацҵара	Добавить переводчика
Альбом ариашара	Редактировать альбом
Аԥшранҵа ардура	Увеличить фотографию
Атема ахьӡ ҿыц:	Новое название темы:
Ахьыӡ кьаҿцәоуп	Имя слишком короткое
ВКонтакте аԥшьы	Приложение ВКонтакте
Шәықәра ашәырба	Укажите свой возраст
ВКонтакте саамҭа рацәаны иақәыӡуеит	ВКонтакте отнимает у меня слишком много времени
300 000 бжьы ахыхәмарра	300 000 голосов 28 и 29 августа
Ишәзымдыруа ахархәаҩ	Незнакомый вам пользователь
Шәыԥшранҵа ргәаԥхеит	Ваша фотография понравилась
Избарҭада аԥшранҵақәа, сахьадырбаз	Кто видит фотографии, на которых меня отметили
Адақьа аанкылоуп.	Страница заблокирована.
Адаҟьаҿы аарԥшра:	Показывать на странице:
Еилкаам адәықәҵаҩ	Неизвестный отправитель
Сдаҟьа ахь аиасра	Перейти к моей странице
Секундқәак рыла аҭел ишәзасуеит иҷыдоу аномер. Ианышәҵа уи аномер аҵыхәтәантәи 4-хыԥхьаӡарак.	В течение нескольких секунд на ваш телефон поступит звонок-сброс с уникального номера. Введите последние 4 цифры этого номера.
Аԥошьҭа аҭыӡҭыԥ шьақәырӷәӷәоуп.	Указанный адрес почты успешно подтверждён.
Ааԥхьара шьҭуп	Приглашение выслано
Абжьтәы цҳамҭа	Голосовое сообщение
Азгәаҭа ԥшаам.	Заметка не найдена.
Аиҭагаҩ иныхра	Удалить переводчика
Альбом амаӡара	Приватность альбома
Аԥшьқәа реизга	Подборка приложений
