russianEDM	Электроника
russianКруто, продолжить!	Круто, продолжить!
russianСтатистика за весь период	Статистика за весь период
russianПоздравляем!	Поздравляем!
russianПодробнее	Подробнее
russianПодробнее	Подробнее
russianПодробнее	Подробнее
russianСиамский Сахарок	Сиамский Сахарок
russianКлипы и истории	Клипы и истории
russianДля клипов доступен только формат видео	Для клипов доступен только формат видео
russianЗагрузить видео	Загрузить видео
russianТолько видео	Только видео
russianМесто размещения объявления:	Место размещения объявления:
russianДо трёх видео или фото	До 3x видео или фото
russianПоддерживается только одно видео	Поддерживается только одно видео
russianПревью в	Превью в
russianисториях	историях
russianклипах	клипах
russian... Ещё	... Еще
russianПодписаться	Подписаться
russianДля клипов и историй доступен только формат видео	Для клипов и историй доступен только формат видео
russianДля Вас	Для вас
russianСвернуть	Свернуть
russianОшибка загрузки	Ошибка загрузки
russianПоддерживаются только видео	Поддерживаются только видео
russianДанное видео нельзя использовать в историях	Данное видео нельзя использовать в историях
russianСоздайте свою первую рекламную запись в этом сообществе	Создайте свою первую рекламную запись в этом сообществе
russianУ вас нет архивных объявлений	У вас нет архивных объявлений
russianУ вас нет остановленных объявлений	У вас нет остановленных объявлений
russianУ вас нет запущенных объявлений	У вас нет запущенных объявлений
russianУ вас нет объявлений	У вас нет объявлений
russianСоздать рекламу	Создать рекламу
russianЧтобы узнать, как получить этот набор стикеров, напишите чат-боту сообщества Orbit.	Чтобы узнать, как получить этот набор стикеров, напишите чат-боту сообщества Orbit.
russianФлаг России	Флаг России
russianУчаствуйте в розыгрыше 300 000 голосов 28 и 29 августа!	Участвуйте в розыгрыше 300 000 голосов 28 и 29 августа!
russianИстории	Истории
russianКлипы	Клипы
russianЧитать подробнее	Читать подробнее
russianТип места	Тип места
russianВведите адрес или название места	Введите адрес или название места
russianМеста	Места
russianВы добавили %s место/Вы добавили %s места/Вы добавили %s мест	Вы добавили %s место/Вы добавили %s места/Вы добавили %s мест
russianРедактировать запись	Редактировать запись
russianКак продвигать тематическое сообщество	Как продвигать тематическое сообщество
russianПривлекайте больше клиентов с помощью новой цели	Привлекайте больше клиентов с помощью новой цели
russianЗапускаем автопродвижение товаров	Запускаем автопродвижение товаров
russianИсключая приложения	Исключая приложения
russianЛюбая	Любая
russianВыбрана слишком большая аудитория, реклама может быть неэффективной. Вы уверены?	Выбрана слишком большая аудитория, реклама может быть неэффективной. Вы уверены?
russianСлишком большая аудитория	Слишком большая аудитория
russianВыберите сообщество для продвижения или {link}создайте новое{/link}	Выберите сообщество для продвижения или {link}создайте новое{/link}
russianЧтобы реклама сработала эффективно, не занижайте стоимость заявки при запуске объявления. По мере получения заявок Вы можете скорректировать стоимость.	Чтобы реклама сработала эффективно, не занижайте стоимость заявки при запуске объявления. По мере получения заявок вы можете скорректировать стоимость.
russianЧтобы реклама сработала эффективно, не занижайте стоимость заявки при запуске объявления. По мере получения заявок Вы можете скорректировать стоимость.	Чтобы реклама сработала эффективно, не занижайте стоимость заявки при запуске объявления. По мере получения заявок вы можете скорректировать стоимость.
russianВыберите сообщество для продвижения или создайте новое	Выберите сообщество для продвижения или создайте новое
russianУчебное заведение	Учебное заведение
russianГод окончания, по	Год окончания, по
russianГод окончания, с	Год окончания, с
russianПродвижение ВКонтакте с мобильного	Продвижение ВКонтакте с мобильного
russianОсталось символов:	Осталось символов:
russianЗагрузить изображение	Загрузить изображение
russianЗагрузить логотип	Загрузить логотип
russianЗацикливать воспроизведение видео	Зацикливать воспроизведение видео
russianТекст рядом с кнопкой:	Текст рядом с кнопкой:
russianНадпись на кнопке:	Надпись на кнопке:
russianОписание:	Описание:
russianЗаголовок:	Заголовок:
russianТематика объявления:	Тематика объявления:
russianОбщий бюджет	Общий бюджет
russianдо	до
russianот	от
russianпо	по
russianс	с
russianВыберите статусы	Выберите статусы
russianСемейное положение:	Семейное положение:
russianУкажите город для выбора вуза	Укажите город для выбора вуза
russianУкажите город для выбора школы	Укажите город для выбора школы
russianВ течение недели	В течение недели
russianВысшее	Высшее
russianСреднее	Среднее
russianОбразование:	Образование:
russianНачните вводить должность	Начните вводить должность
russianДолжности:	Должности:
russianУкажите стоимость	Укажите стоимость
russianЦель:	Цель:
russianУкажите сумму которую вы хотите тратить в день	Укажите сумму которую вы хотите тратить в день
russianНе задан	Не задан
russianПосле обучения средняя стоимость перехода будет стремиться не превышать это значение	После обучения средняя стоимость перехода будет стремиться не превышать это значение
russianОставьте пустым, если в ограничении нет необходимости	Оставьте пустым, если в ограничении нет необходимости
russianМаксимальный желаемый CPC:	Максимальный желаемый CPC:
russianНеобязательное поле	Необязательное поле
russianНе задан	Не задан
russianОставьте пустым, если в ограничении нет необходимости	Оставьте пустым, если в ограничении нет необходимости
russianМаксимальный CPM:	Максимальный CPM:
russianЗа показы	За показы
russianВступления	Вступления
russianМаксимум переходов	Максимум переходов
russianМаксимум показов	Максимум показов
russianЦена за переход:	Цена за переход:
russianЦена за 1000 показов:	Цена за 1000 показов:
russianДневной лимит:	Дневной лимит:
russianВыберите интернет-браузер	Выберите интернет-браузер
russianВыберите операционную систему	Выберите операционную систему
russianВыберите устройство	Выберите устройство
russianОперационные системы	Операционные системы
russianИнтернет-браузеры	Интернет-браузеры
russianУстройства	Устройства
russianВведите название города или региона	Введите название города или региона
russianСначала выберите страну	Сначала выберите страну
russianЗа исключением	За исключением
russianГорода и регионы	Города и регионы
russianЗаявки	Заявки
russianСтрана	Страна
russianСообщения	Сообщения
russianЛюбой	Любой
russianЛюбое	Любое
russianЧудо-қьачақьқәа	Чудо-стикеры
russianПродвижение сообщества	Продвижение сообщества
russianЗапустить рекламу	Запустить рекламу
russianУникальные пользователи, которые могут увидеть рекламное объявление	Уникальные пользователи, которые могут увидеть рекламное объявление
russian10+ подписчиков	10+ подписчиков
russianСумма, которая может быть потрачена на объявление за выбранный период. Бюджет рассчитан на основе заданных настроек таргетинга, времени показов, рекламных площадок и установленной цены.	Сумма, которая может быть потрачена на объявление за выбранный период. Бюджет рассчитан на основе заданных настроек таргетинга, времени показов, рекламных площадок и установленной цены.
russianОбъем переходов рассчитывается исходя из прогнозируемого охвата и средних значений кликабельности (CTR). Когда объявление накопит статистику, прогнозные значения могут измениться как в большую, так и в меньшую сторону.	Объем переходов рассчитывается исходя из прогнозируемого охвата и средних значений кликабельности (CTR). Когда объявление накопит статистику, прогнозные значения могут измениться как в большую, так и в меньшую сторону.
russianРассчитывается на основе средних значений по выбранной аудитории. Прогноз может измениться после накопления статистики.	Рассчитывается на основе средних значений по выбранной аудитории. Прогноз может измениться после накопления статистики.
russianБюджет, ₽	Бюджет, ₽
russianОхват	Охват
russianПереходы	Переходы
russianПоказы	Показы
russianЦелевая аудитория	Целевая аудитория
russian3+ опубликованных записей	3+ опубликованных записей
russianЗаинтересованная	Заинтересованная
russianСистема автоматически назначает стоимость для максимально эффективной открутки и достижения цели рекламодателя. [https://vk.com/faq16659|Подробнее о целях]	Система автоматически назначает стоимость для максимально эффективной открутки и достижения цели рекламодателя. [https://vk.com/faq16659|Подробнее о целях]
russianАвтоматическое управление ценой	Автоматическое управление ценой
russianРедактирование объявления	Редактирование объявления
russianВозраст:	Возраст:
russianДень рождения:	День рождения:
russianРасходы	Расходы
russianФормат	Формат
russianАудитория	Аудитория
russianВремя показов	Время показов
russianДополнительно	Дополнительно
russianДемография	Демография
russianМестоположение	Местоположение
russianМоё время	Моё время
russianОставьте таблицу пустой, чтобы объявление работало 24/7.	Оставьте таблицу пустой, чтобы объявление работало 24/7.
russianПолучите до 3 000 ₽ {date}	Получите до 3 000 ₽ {date}
russianКаждый понедельник с 1 по 31 июля 2020 года возвращаем в рекламный бюджет траты на рекламу за прошлую неделю. Максимальная сумма компенсации за одну неделю — 3 000 рублей. Возврат осуществляется только на траты ваших денежных средств, без учёта компенсационных начислений.	Каждый понедельник с 1 по 31 июля 2020 года возвращаем в рекламный бюджет траты на рекламу за прошлую неделю. Максимальная сумма компенсации за одну неделю — 3 000 рублей. Возврат осуществляется только на траты ваших денежных средств, без учёта компенсационных начислений.
russianИнтересы	Интересы
russianОбразование	Образование
russianПол:	Пол:
russianМужской	Мужской
russianЖенский	Женский
russianСегодня	Сегодня
russianЗавтра	Завтра
russianЛюбой	Любой
russianЛетта	Летта
russianПобедители получат возможность купить iPhone 11 за 1 рубль.	Победители получат возможность купить iPhone 11 за 1 рубль.
russianПравила акции	Правила акции
russianЗапись на приём	Запись на приём
russianДобавление платёжной информации	Добавление платёжной информации
russianОнлайн-фестиваль VK Fest	Онлайн-фестиваль VK Fest
russianНик Толабов	Ник Толабов
russianБФ «Дом с маиаком»	БФ «Дом с маяком»
russianVK Fest #лучшедома	VK Fest #лучшедома
russianУхожу красиво	Ухожу красиво
russianЗавершаем VK Fest.<br>Смотрите бесплатно прямо сейчас!	Завершаем VK Fest.<br>Смотрите бесплатно прямо сейчас!
russianПервый день VK Fest	Первый день VK Fest
russianХомяк Сеня, дерзкий пёс Дигги, единорожек Спаркс, милый кот Персик и чемпион по вилянию хвостом Спотти — главные персонажи VK Fest в этом году!	Хомяк Сеня, дерзкий пёс Дигги, единорожек Спаркс, милый кот Персик и чемпион по вилянию хвостом Спотти — главные персонажи VK Fest в этом году!
russianЧат с Поддержкой	Чат с Поддержкой
russianНастройка напрямую влияет на размер аудитории, подобранной по указанным сообществам. [https://vk.com/faq16835|Подробнее]	Настройка напрямую влияет на размер аудитории, подобранной по указанным сообществам. [https://vk.com/faq16835|Подробнее]
russianРасширить аудиторию	Расширить аудиторию
russianРасширение аудитории:	Расширение аудитории:
russianУвеличьте охват за счёт заинтересованной аудитории	Увеличьте охват за счёт заинтересованной аудитории
russianАнҵамҭа шәалага	Начните запись
russianВыполняйте задания в играх с 25 марта по 28 мая и получите шанс купить iPhone за 1 рубль!	Выполняйте задания в играх с 25 марта по 28 мая и получите шанс купить iPhone за 1 рубль!
russian<a class="wikiExtLink" href="/away.php?to=http%3A%2F%2Fmy.games%2Fplayathome%2Frules" target="_blank" onclick="return goAway('http://my.games/playathome/rules')">Полные правила акции</a>	<a class="wikiExtLink" href="/away.php?to=http%3A%2F%2Fmy.games%2Fplayathome%2Frules" target="_blank" onclick="return goAway('http://my.games/playathome/rules')">Полные правила акции</a>
russianВы продвигаете	Вы продвигаете
russianСообщества без продвижения	Сообщества без продвижения
russianВы продвигаете	Вы продвигаете
russianПодробнее об условиях	Подробнее об условиях
russianСоздать	Создать
russian{date} вернём {amount}	{date} вернём {amount}
russianПривлекайте больше людей	Привлекайте больше людей
russianс помощью промозаписей	с помощью промозаписей
russianНужны подписчики?	Нужны подписчики?
russian{day} {month}/вчера/сегодня/завтра	{day} {month}/вчера/сегодня/завтра
russianЗапустить рекламу	Запустить рекламу
russianДобавление в корзину	Добавление в корзину
russianНачало оформления заказа	Начало оформления заказа
russianРегистрация	Регистрация
russianОформление подписки	Оформление подписки
russianКонтакт	Контакт
russianПолучение потенциального клиента	Получение потенциального клиента
russianКонверсия	Конверсия
russianДобавление в список желаний	Добавление в список желаний
russianИспользование пробной версии	Использование пробной версии
russianПодача заявки	Подача заявки
russianАкция «Заряди сборную на победы!»	Акция «Заряди сборную на победы!»
russianОльга Шибаева	Ольга Шибаева
russianАртём Дзюба — капитан сборной России по футболу. Болеем за наших парней!	Артём Дзюба — капитан сборной России по футболу. Болеем за наших парней!
russianАлександр Головин — полузащитник сборной России по футболу. Болеем за наших парней!	Александр Головин — полузащитник сборной России по футболу. Болеем за наших парней!
russianМои сообщества	Мои сообщества
russianСоздать сообщество	Создать сообщество
russianВыберите сообщество, записи которого	Выберите сообщество, записи которого
russianвы хотите рекламировать или	вы хотите рекламировать или
russian{link}создайте новое{/link}	{link}создайте новое{/link}
russianПользователи с этими интересами не увидят рекламу	Пользователи с этими интересами не увидят рекламу
russianПодписчики этих сообществ не увидят рекламу	Подписчики этих сообществ не увидят рекламу
russianДобавить исключение	Добавить исключение
russianкоторые также подписаны на:	которые также подписаны на:
russianкоторые также подписаны на:	которые также подписаны на:
russianи одновременно активны в:	и одновременно активны в:
russianв том числе:	в том числе:
russianПодписчики сообществ:	Подписчики сообществ:
russianв том числе:	в том числе:
russianУдалить блок	Удалить блок
russianПереключиться в простой режим	Переключиться в простой режим
russianВведите название	Введите название
russianИсключая интересы:	Исключая интересы:
russianИнтересы и поведение:	Интересы и поведение:
russianИсключая подписчиков:	Исключая подписчиков:
russianАктивность в сообществах:	Активность в сообществах:
russianВведите название	Введите название
russianЗагрузить списком	Загрузить списком
russianОчистить все	Очистить все
russianПолучите консультацию	Получите консультацию
russianПятница! телецышьҭа	Телеканал Пятница!
russianна VK Pay	на VK Pay
russianГульнареи и Эльвиреи Нисаповаа	Гульнара и Эльвира Нисаповы
russianОткрыть календарь	Открыть календарь
russianЧтобы получить этот набор стикеров, примите денежный перевод ВКонтакте на карту Mastercard/Maestro.	Чтобы получить этот набор стикеров, примите денежный перевод ВКонтакте на карту Mastercard/Maestro.
russianАкция проводится	Акция проводится
russianс 16.12.19 по 15.01.20	с 16.12.19 по 15.01.20
russianСоветы по рекламе автомобильных услуг	Советы по рекламе автомобильных услуг
russianСоветы по рекламе салонов красоты	Советы по рекламе салонов красоты
russianДвигайте карту, чтобы указать место	Двигайте карту, чтобы указать место
russianСоздание рекламы в сообществе доступно, когда ему больше недели, опубликовано не менее трёх записей и набрано не менее 10 подписчиков.	Создание рекламы в сообществе доступно, когда ему больше недели, опубликовано не менее трёх записей и набрано не менее 10 подписчиков.
russianсообщество/сообщества/сообществ	сообщество/сообщества/сообществ
russianинтерес/интереса/интересов	интерес/интереса/интересов
russianДлительность рекламы	Длительность рекламы
russianОбщий бюджет	Общий бюджет
russianВаш бюджет	Ваш бюджет
russianВведите более 2-х символов	Введите более 2-х символов
russianчел	чел
russianЦелевая аудитория	Целевая аудитория
russianГорода и регионы	Города и регионы
russianГеометка	Геометка
russianГеометка	Геометка
russianДобавить	Добавить
russianМестоположение	Местоположение
russianНазвание места	Название места
russianВведите название страны, региона или города. Затем выберите его из списка.	Введите название страны, региона или города. Затем выберите его из списка.
russianУкажите адрес	Укажите адрес
russianВыбрать на карте	Выбрать на карте
russianНичего не найдено	Ничего не найдено
russianВведите названия сообществ и укажите между ними оператор «И», «ИЛИ», «И НЕ».	Введите названия сообществ и укажите между ними оператор «И», «ИЛИ», «И НЕ».
russianКак оформить сообщество?	Как оформить сообщество?
russianКак создавать контент?	Как создавать контент?
russianКак выбрать запись для рекламы?	Как выбрать запись для рекламы?
russianКак продвигать сообщество?	Как продвигать сообщество?
russianКак настроить сообщество?	Как настроить сообщество?
russianРекомендации и советы	Рекомендации и советы
russianВдохновитесь опытом других компаний	Вдохновитесь опытом других компаний
russianПравила и примеры.	Правила и примеры.
russianОшибка синтаксиса.	Ошибка синтаксиса.
russianРеклама недоступна	Реклама недоступна
russianУ вас пока нет сообществ,	У вас пока нет сообществ,
russianкоторые можно рекламировать	которые можно рекламировать
russianОчистить	Очистить
russianГотово	Готово
russianПодробнее	Подробнее
russianУдалить	Удалить
russianРеклама в сообществах	Реклама в сообществах
russianМинимальное значение — %s рубль./Минимальное значение — %s рубля./Минимальное значение — %s рублей.	Минимальное значение — %s рубль./Минимальное значение — %s рубля./Минимальное значение — %s рублей.
russianВаши сообщества	Ваши сообщества
russianурок/урока/уроков	урок/урока/уроков
russianОбщая информация	Общая информация
russianПолучайте больше просмотров	Получайте больше просмотров
russianи новых подписчиков	и новых подписчиков
russianИстории успеха	Истории успеха
russianПополнить	Пополнить
russianДобавить	Добавить
russianПерейти к объявлениям	Перейти к объявлениям
russianНачать	Начать
russianВы не можете создавать объявления в этом кабинете	Вы не можете создавать объявления в этом кабинете
russianВернуться на главную	Вернуться на главную
russianПоказать технические подробности	Показать технические подробности
russianРекламируйте записи	Рекламируйте записи
russianсвоего сообщества	своего сообщества
russianСледите за результатами	Следите за результатами
russianЗапустите рекламу и пополните бюджет	Запустите рекламу и пополните бюджет
russianНастройте аудиторию и ограничьте расходы	Настройте аудиторию и ограничьте расходы
russianВыберите интересную запись	Выберите интересную запись
russianКак это работает?	Как это работает?
russianДобро пожаловать!	Добро пожаловать!
russianПовторить	Повторить
russianНевозможно добавить	Невозможно добавить
russianДалее	Далее
russianВыпускной 2019	Выпускной 2019
russianРазмер файла не должен превышать 30 КБ.	Размер файла не должен превышать 30 КБ.
russian{link}Подробнее о требованиях{/link}.	{link}Подробнее о требованиях{/link}.
russianДублируется	Дублируется
russianНевозможно добавить	Невозможно добавить
russianНе добавлено:	Не добавлено:
russianДобавлено {total} из %s сообщества/Добавлено {total} из %s сообществ/Добавлено {total} из %s сообществ	Добавлено {total} из %s сообщества/Добавлено {total} из %s сообществ/Добавлено {total} из %s сообществ
russianВставьте ссылки или идентификаторы сообществ	Вставьте ссылки или идентификаторы сообществ
russianЗагрузите список сообществ: принимаются прямые ссылки и идентификаторы. В качестве разделителя используйте запятую, точку с запятой или перенос строки.	Загрузите список сообществ: принимаются прямые ссылки и идентификаторы. В качестве разделителя используйте запятую, точку с запятой или перенос строки.
russianРекламная запись будет запущена только после проверки модераторами ВКонтакте	Рекламная запись будет запущена только после проверки модераторами ВКонтакте
russianДобавить сообщества	Добавить сообщества
russianПополнить бюджет	Пополнить бюджет
russianПополните бюджет, чтобы запустить рекламу	Пополните бюджет, чтобы запустить рекламу
russianНастройки рекламы	Настройки рекламы
russianРеклама записи	Реклама записи
russianОжидаемый охват аудитории	Ожидаемый охват аудитории
russianДневной лимит, руб.	Дневной лимит, руб.
russianДневной лимит	Дневной лимит
russianРекламная запись отклонена при проверке	Рекламная запись отклонена при проверке
russianПоказатель эффективности рекламы — насколько активно люди переходят по рекламной записи. Считается, как отношение числа переходов к числу показов, умноженное на 100.	Показатель эффективности рекламы — насколько активно люди переходят по рекламной записи. Считается, как отношение числа переходов к числу показов, умноженное на 100.
russianКоличество просмотров рекламной записи.	Количество просмотров рекламной записи.
russianКоличество уникальных переходов по рекламной записи — переходы в сообщество, а также переходы по ссылкам внутри записи.	Количество уникальных переходов по рекламной записи — переходы в сообщество, а также переходы по ссылкам внутри записи.
russianКоличество уникальных пользователей, которые хотя бы один раз увидели рекламную запись.	Количество уникальных пользователей, которые хотя бы один раз увидели рекламную запись.
russianЭффективная стоимость перехода. Средняя стоимость одного перехода с рекламной записи.	Эффективная стоимость перехода. Средняя стоимость одного перехода с рекламной записи.
russianРекламная запись не соответствует требованиям к рекламе ВКонтакте. Подробнее о требованиях в веб-версии рекламного кабинета.	Рекламная запись не соответствует требованиям к рекламе ВКонтакте. Подробнее о требованиях в веб-версии рекламного кабинета.
russianАктивная аудитория, подходящая под заданные настройки	Активная аудитория, подходящая под заданные настройки
russianБФ «Арифметика добра»	БФ «Арифметика добра»
russianСпаркс на VK Fest 2019	Спаркс на VK Fest 2019
russianОшибка. Повторите попытку позже.	Ошибка. Повторите попытку позже.
russianПерезапустите приложение, чтобы отмотать последствия щелчка.	Перезапустите приложение, чтобы отмотать последствия щелчка.
russianЯркий талисман Зимней Универсиады-2019 зовёт окунуться в атмосферу студенческих игр!	Яркий талисман Зимней Универсиады-2019 зовёт окунуться в атмосферу студенческих игр!
russianВведите название	Введите название
russianПоразмышляйте над тем, что давно хотели изменить, попробовать или узнать, и дайте публичное обещание сделать это в следующем году.	Поразмышляйте над тем, что давно хотели изменить, попробовать или узнать, и дайте публичное обещание сделать это в следующем году.
russianСтремление реализовать свои планы станет сильнее, если Вы сделаете свои обещания публичными. Расскажите о них друзьям — и приобретёте не только дополнительную мотивацию, но и единомышленников.	Стремление реализовать свои планы станет сильнее, если вы сделаете свои обещания публичными. Расскажите о них друзьям — и приобретёте не только дополнительную мотивацию, но и единомышленников.
russianНовый год — отличный шанс начать новую жизнь. В канун праздника мы обещаем себе стать лучше, заняться спортом, преуспеть в учёбе или работе, прочесть больше книг, чаще путешествовать.	Новый год — отличный шанс начать новую жизнь. В канун праздника мы обещаем себе стать лучше, заняться спортом, преуспеть в учёбе или работе, прочесть больше книг, чаще путешествовать.
russianХорошая успеваемость, занятия спортом...	Хорошая успеваемость, занятия спортом...
russianПоддерживаются только изображения и видео	Поддерживаются только изображения и видео
russianНе удалось загрузить изображение предпросмотра	Не удалось загрузить изображение предпросмотра
russianИзменить ссылку...	Изменить ссылку...
russianДобавить кнопку	Добавить кнопку
russianИзображение или видео	Изображение или видео
russianРеклама	Реклама
russianЗагрузка...	Загрузка...
russianЗагрузить файл	Загрузить файл
russianДождитесь окончания загрузки предыдущего файла	Дождитесь окончания загрузки предыдущего файла
russianПоставлено отметок «Нравится»:	Поставлено отметок «Нравится»:
russianОтметок «Нравится» поставил {name}:/Отметок «Нравится» поставила {name}:	Отметок «Нравится» поставил {name}:/Отметок «Нравится» поставила {name}:
russianНабор стикеров к выпускному от шоу Ночной Контакт!	Набор стикеров к выпускному от шоу Ночной Контакт!
russianВыпускной 2018	Выпускной 2018
russianПривет! Ты добавил альбом America группы Thirty Seconds To Mars в свои аудиозаписи. Держи подарок: 8 стикеров из фирменного набора музыкантов.	Привет! Ты добавил альбом America группы Thirty Seconds To Mars в свои аудиозаписи. Держи подарок: 8 стикеров из фирменного набора музыкантов.
russianХочешь получить ещё больше стикеров? Для этого нужно всего лишь выполнить пару заданий.	Хочешь получить ещё больше стикеров? Для этого нужно всего лишь выполнить пару заданий.
russianЧтобы получить следующие 4 стикера, послушай альбом America целиком.	Чтобы получить следующие 4 стикера, послушай альбом America целиком.
russianНабор от МАТЧ ТВ, посвященный главному футбольному турниру четырехлетия. Обсуждать матчи мундиаля станет еще интереснее.	Набор от МАТЧ ТВ, посвященный главному футбольному турниру четырехлетия. Обсуждать матчи мундиаля станет еще интереснее.
russianЯ за Альянс!	Я за Альянс!
russianЯ за Орду!	Я за Орду!
russianДигги — победитель народного голосования и символ VK Fest 2018!	Дигги — победитель народного голосования и символ VK Fest 2018!
russianМаксимальный бюджет продвижения: %s ₽	Максимальный бюджет продвижения: %s ₽
russianСтатус объявления не был изменён	Статус объявления не был изменён
russianК сожалению, по Вашему запросу ничего не найдено.	К сожалению, по вашему запросу ничего не найдено.
russianНе указаны настройки местоположения	Не указаны настройки местоположения
russianВы уверены?	Вы уверены?
russianДругой период	Другой период
russianДругая сумма	Другая сумма
russianПериод и бюджет	Длительность и лимит
russianЧем интересуются пользователи	Чем интересуются пользователи
russianГде находятся пользователи	Где находятся пользователи
